,date,content
0,2021-05-04 17:43:12+00:00,@pta_nahin Finally you got it lol
1,2021-05-04 17:43:12+00:00,🤣🤣🤣 https://t.co/DIC1DbFbPQ
2,2021-05-04 17:43:12+00:00,Illusion or reality? https://t.co/vyaXvulNDK
3,2021-05-04 17:43:12+00:00,@i_am_IBBU follow me ifb https://t.co/HJ6H7buMTx
4,2021-05-04 17:43:12+00:00,@wattal_pooja 🙏😊
5,2021-05-04 17:43:12+00:00,"@galtor Ah, excellent! And yeah, I frequently check the site and order as soon as they have certain things in stock. They run out of this one in a day or two, usually!"
6,2021-05-04 17:43:11+00:00,"منافق لوگ 
اسلام کے غدار
😠😠😠😠😡😡😡 https://t.co/f23DCrHSM0"
7,2021-05-04 17:43:11+00:00,"@SanjeevSanskrit टिकैत को नहीं रोक सकते
शाहीनबाग नही रोक सकते
किसान आंदोलन नही रोक सकते !
26 जनवरी दंगा नही रोक सकते !
विपक्षी फेक न्यूज नही रोक सकते !
हिन्दुओं की होती हत्याएं नही रोक सकते
बंगाल में अपने कार्यकर्ताओं की हत्या का बदला नही ले सकते
फिर क्यों मरे लोग आपके लिए भाड़ में जाये ये BJP"
8,2021-05-04 17:43:11+00:00,I’ve been waiting and now finally 🥰🥰🥰 https://t.co/IuQMa8L9ik
9,2021-05-04 17:43:11+00:00,@shayad_hay epic
10,2021-05-04 17:43:11+00:00,@ashwini294 🤣🤣
11,2021-05-04 17:43:11+00:00,"Dear Smart Flyer! GoAir would like to inform you that for your PNR AYCKJQ the flight G8-268 on 01May'21 from DEL to LKO has been cancelled.
Already rescheduled but now flight cancelled kindly refund it.
@goairlinesindia @airasia @paimadhu @iamnarendranath @narendramodi @PMOIndia"
12,2021-05-04 17:43:11+00:00,"@SSSTShirdi हे दयानिधि,
कृपा बनाए रखें प्रभु💐💐."
13,2021-05-04 17:43:11+00:00,"#اَلْوَهَّابُ

Follow all Who Like &amp; RETWEET This👇

⁦#Team_Defenders
@ihsanbashir7515
@TZK_5
@madihapervaiz 
@TheVisitOFWorld 
@Amfar82Syed
@Farzana_Rasab 
@Khansahib375 
@turk_afzaal 
@I_amJutt
@SafdarShaheen76 https://t.co/KPx5v2IXXE"
14,2021-05-04 17:43:11+00:00,@YadavShamita Hahaha 🤣 too good
15,2021-05-04 17:43:11+00:00,@umair1808 Dua karain sir 🤣🤣
16,2021-05-04 17:43:10+00:00,@NitishKumar @BJP4Bihar @News18Bihar @officecmbihar @bihar_police कुछ तो स्टेटमेंट जारी कीजिए। https://t.co/ksEA9rUDoB
17,2021-05-04 17:43:10+00:00,"क्या खूब कहा है किसी ने दिल किताब से लगाना दोस्तों_____ 
अगर बेवफ़ा भी हुई तो काबिल बना कर छोडेगी_____ !!
😎🤏"
18,2021-05-04 17:43:10+00:00,@Prashantjaju @SunandaJain2 @sahneydeepak You have to catch the point that we are paying taxes not just for country infra development but for health care too. Then why paying that much for vaccine? For life ₹ 1250 is nothing even for poorest of poor. But why should you pay?
